name,ticker,country,benchmark_index,ISO_alpha3_codes
Marriot Int Cl A,MAR,UNITED STATES OF AMERICA,S&P 500,USA
Masco Corp,MAS,UNITED STATES OF AMERICA,S&P 500,USA
McDonald's Corp,MCD,UNITED STATES OF AMERICA,S&P 500,USA
Microchip Technology,MCHP,UNITED STATES OF AMERICA,S&P 500,USA
Mckesson Corp,MCK,UNITED STATES OF AMERICA,S&P 500,USA
Moody's Corp,MCO,UNITED STATES OF AMERICA,S&P 500,USA
Mondelez Intl Inc,MDLZ,UNITED STATES OF AMERICA,S&P 500,USA
Medtronic Inc,MDT,UNITED STATES OF AMERICA,S&P 500,USA
Metlife Inc,MET,UNITED STATES OF AMERICA,S&P 500,USA
MGM Resorts International,MGM,UNITED STATES OF AMERICA,S&P 500,USA
Mohawk Industries,MHK,UNITED STATES OF AMERICA,S&P 500,USA
Mccormick & Company Inc,MKC,UNITED STATES OF AMERICA,S&P 500,USA
Marketaxess Holdings,MKTX,UNITED STATES OF AMERICA,S&P 500,USA
Martin Marietta Materials,MLM,UNITED STATES OF AMERICA,S&P 500,USA
Marsh & Mclennan Companies,MMC,UNITED STATES OF AMERICA,S&P 500,USA
3M Company,MMM,UNITED STATES OF AMERICA,S&P 500,USA
Monster Beverage Cp,MNST,UNITED STATES OF AMERICA,S&P 500,USA
Altria Group,MO,UNITED STATES OF AMERICA,S&P 500,USA
Mosaic Company,MOS,UNITED STATES OF AMERICA,S&P 500,USA
Marathon Petroleum Corp,MPC,UNITED STATES OF AMERICA,S&P 500,USA
Merck & Company,MRK,UNITED STATES OF AMERICA,S&P 500,USA
Marathon Oil Corp,MRO,UNITED STATES OF AMERICA,S&P 500,USA
Morgan Stanley,MS,UNITED STATES OF AMERICA,S&P 500,USA
MSCI Inc,MSCI,UNITED STATES OF AMERICA,S&P 500,USA
Microsoft Corp,MSFT,UNITED STATES OF AMERICA,S&P 500,USA
Motorola Solutions,MSI,UNITED STATES OF AMERICA,S&P 500,USA
M&T Bank Corp,MTB,UNITED STATES OF AMERICA,S&P 500,USA
Mettler-Toledo International,MTD,UNITED STATES OF AMERICA,S&P 500,USA
Micron Technology,MU,UNITED STATES OF AMERICA,S&P 500,USA
Maxim Integrated,MXIM,UNITED STATES OF AMERICA,S&P 500,USA
Mylan NV Ord Shs,MYL,UNITED STATES OF AMERICA,S&P 500,USA
Noble Energy Inc,NBL,UNITED STATES OF AMERICA,S&P 500,USA
Norwegian Cruise Ord,NCLH,UNITED STATES OF AMERICA,S&P 500,USA
Nasdaq Inc,NDAQ,UNITED STATES OF AMERICA,S&P 500,USA
Nextera Energy,NEE,UNITED STATES OF AMERICA,S&P 500,USA
Newmont Mining Corp,NEM,UNITED STATES OF AMERICA,S&P 500,USA
Netflix Inc,NFLX,UNITED STATES OF AMERICA,S&P 500,USA
NiSource Inc,NI,UNITED STATES OF AMERICA,S&P 500,USA
Nike Inc,NKE,UNITED STATES OF AMERICA,S&P 500,USA
Nortonlifelock Inc.,NLOK,UNITED STATES OF AMERICA,S&P 500,USA
Nielsen Holdings Plc,NLSN,UNITED STATES OF AMERICA,S&P 500,USA
Northrop Grumman Corp,NOC,UNITED STATES OF AMERICA,S&P 500,USA
National-Oilwell,NOV,UNITED STATES OF AMERICA,S&P 500,USA
Servicenow Inc,NOW,UNITED STATES OF AMERICA,S&P 500,USA
NRG Energy,NRG,UNITED STATES OF AMERICA,S&P 500,USA
Norfolk Southern Corp,NSC,UNITED STATES OF AMERICA,S&P 500,USA
Netapp Inc,NTAP,UNITED STATES OF AMERICA,S&P 500,USA
Northern Trust Corp,NTRS,UNITED STATES OF AMERICA,S&P 500,USA
Nucor Corp,NUE,UNITED STATES OF AMERICA,S&P 500,USA
Nvidia Corp,NVDA,UNITED STATES OF AMERICA,S&P 500,USA
NVR Inc,NVR,UNITED STATES OF AMERICA,S&P 500,USA
Newell Rubbermaid Inc,NWL,UNITED STATES OF AMERICA,S&P 500,USA
News Cp Cl B,NWS,UNITED STATES OF AMERICA,S&P 500,USA
News Cp Cl A,NWSA,UNITED STATES OF AMERICA,S&P 500,USA
Realty Income Corp,O,UNITED STATES OF AMERICA,S&P 500,USA
Old Dominion Freig,ODFL,UNITED STATES OF AMERICA,S&P 500,USA
Oneok Inc,OKE,UNITED STATES OF AMERICA,S&P 500,USA
Omnicom Group Inc,OMC,UNITED STATES OF AMERICA,S&P 500,USA
Oracle Corp,ORCL,UNITED STATES OF AMERICA,S&P 500,USA
O'Reilly Automotive,ORLY,UNITED STATES OF AMERICA,S&P 500,USA
Occidental Petroleum Corp,OXY,UNITED STATES OF AMERICA,S&P 500,USA
Paycom Software Inc,PAYC,UNITED STATES OF AMERICA,S&P 500,USA
Paychex Inc,PAYX,UNITED STATES OF AMERICA,S&P 500,USA
People's United Finl,PBCT,UNITED STATES OF AMERICA,S&P 500,USA
Paccar Inc,PCAR,UNITED STATES OF AMERICA,S&P 500,USA
Healthpeak Properties Inc.,PEAK,UNITED STATES OF AMERICA,S&P 500,USA
Public Service Enterprise Group Inc,PEG,UNITED STATES OF AMERICA,S&P 500,USA
Pepsico Inc,PEP,UNITED STATES OF AMERICA,S&P 500,USA
Pfizer Inc,PFE,UNITED STATES OF AMERICA,S&P 500,USA
Principal Financial Group Inc,PFG,UNITED STATES OF AMERICA,S&P 500,USA
Procter & Gamble Company,PG,UNITED STATES OF AMERICA,S&P 500,USA
Progressive Corp,PGR,UNITED STATES OF AMERICA,S&P 500,USA
Parker-Hannifin Corp,PH,UNITED STATES OF AMERICA,S&P 500,USA
Pultegroup,PHM,UNITED STATES OF AMERICA,S&P 500,USA
Packaging Corp of America,PKG,UNITED STATES OF AMERICA,S&P 500,USA
Perkinelmer,PKI,UNITED STATES OF AMERICA,S&P 500,USA
Prologis Inc,PLD,UNITED STATES OF AMERICA,S&P 500,USA
Philip Morris International Inc,PM,UNITED STATES OF AMERICA,S&P 500,USA
PNC Bank,PNC,UNITED STATES OF AMERICA,S&P 500,USA
Pentair Ltd,PNR,UNITED STATES OF AMERICA,S&P 500,USA
Pinnacle West Capital Corp,PNW,UNITED STATES OF AMERICA,S&P 500,USA
PPG Industries,PPG,UNITED STATES OF AMERICA,S&P 500,USA
PPL Corp,PPL,UNITED STATES OF AMERICA,S&P 500,USA
Perrigo Company,PRGO,UNITED STATES OF AMERICA,S&P 500,USA
Prudential Financial Inc,PRU,UNITED STATES OF AMERICA,S&P 500,USA
Public Storage,PSA,UNITED STATES OF AMERICA,S&P 500,USA
Phillips 66,PSX,UNITED STATES OF AMERICA,S&P 500,USA
Phillips-Van Heusen Corp,PVH,UNITED STATES OF AMERICA,S&P 500,USA
Quanta Services,PWR,UNITED STATES OF AMERICA,S&P 500,USA
Pioneer Natural Resources Company,PXD,UNITED STATES OF AMERICA,S&P 500,USA
Paypal Holdings,PYPL,UNITED STATES OF AMERICA,S&P 500,USA
Qualcomm Inc,QCOM,UNITED STATES OF AMERICA,S&P 500,USA
Qorvo Inc,QRVO,UNITED STATES OF AMERICA,S&P 500,USA
Royal Caribbean Cruises Ltd,RCL,UNITED STATES OF AMERICA,S&P 500,USA
Everest Re Group,RE,UNITED STATES OF AMERICA,S&P 500,USA
Regency Centers Corp,REG,UNITED STATES OF AMERICA,S&P 500,USA
Regeneron Pharmaceuticals,REGN,UNITED STATES OF AMERICA,S&P 500,USA
Regions Financial Corp,RF,UNITED STATES OF AMERICA,S&P 500,USA
Robert Half International Inc,RHI,UNITED STATES OF AMERICA,S&P 500,USA
Raymond James Financial,RJF,UNITED STATES OF AMERICA,S&P 500,USA
Ralph Lauren Corp,RL,UNITED STATES OF AMERICA,S&P 500,USA
Resmed Inc,RMD,UNITED STATES OF AMERICA,S&P 500,USA
Rockwell Automation Inc,ROK,UNITED STATES OF AMERICA,S&P 500,USA
Rollins Inc,ROL,UNITED STATES OF AMERICA,S&P 500,USA
Roper Industries,ROP,UNITED STATES OF AMERICA,S&P 500,USA
Ross Stores Inc,ROST,UNITED STATES OF AMERICA,S&P 500,USA
Republic Services,RSG,UNITED STATES OF AMERICA,S&P 500,USA
Raytheon Company,RTN,UNITED STATES OF AMERICA,S&P 500,USA
SBA Communications,SBAC,UNITED STATES OF AMERICA,S&P 500,USA
Starbucks Corp,SBUX,UNITED STATES OF AMERICA,S&P 500,USA
The Charles Schwab Corp,SCHW,UNITED STATES OF AMERICA,S&P 500,USA
Sealed Air Corp,SEE,UNITED STATES OF AMERICA,S&P 500,USA
Sherwin-Williams Company,SHW,UNITED STATES OF AMERICA,S&P 500,USA
Svb Financial Group,SIVB,UNITED STATES OF AMERICA,S&P 500,USA
J.M. Smucker Company,SJM,UNITED STATES OF AMERICA,S&P 500,USA
Schlumberger N.V.,SLB,UNITED STATES OF AMERICA,S&P 500,USA
SL Green Realty Corp,SLG,UNITED STATES OF AMERICA,S&P 500,USA
Snap-On Inc,SNA,UNITED STATES OF AMERICA,S&P 500,USA
Synopsys Inc,SNPS,UNITED STATES OF AMERICA,S&P 500,USA
Southern Company,SO,UNITED STATES OF AMERICA,S&P 500,USA
Simon Property Group,SPG,UNITED STATES OF AMERICA,S&P 500,USA
S&P Global Inc,SPGI,UNITED STATES OF AMERICA,S&P 500,USA
Sempra Energy,SRE,UNITED STATES OF AMERICA,S&P 500,USA
Steris Corp,STE,UNITED STATES OF AMERICA,S&P 500,USA
State Street Corp,STT,UNITED STATES OF AMERICA,S&P 500,USA
Seagate Tech Ord Shs,STX,UNITED STATES OF AMERICA,S&P 500,USA
Constellation Brands Inc,STZ,UNITED STATES OF AMERICA,S&P 500,USA
Stanley Black & Decker Inc,SWK,UNITED STATES OF AMERICA,S&P 500,USA
Skyworks Solutions,SWKS,UNITED STATES OF AMERICA,S&P 500,USA
Synchrony Financial,SYF,UNITED STATES OF AMERICA,S&P 500,USA
Stryker Corp,SYK,UNITED STATES OF AMERICA,S&P 500,USA
Sysco Corp,SYY,UNITED STATES OF AMERICA,S&P 500,USA
AT&T Inc,T,UNITED STATES OF AMERICA,S&P 500,USA
Molson Coors Brewing Company,TAP,UNITED STATES OF AMERICA,S&P 500,USA
Transdigm Group Inc,TDG,UNITED STATES OF AMERICA,S&P 500,USA
Te Connectivity Ltd,TEL,UNITED STATES OF AMERICA,S&P 500,USA
Truist Financial Corp.,TFC,UNITED STATES OF AMERICA,S&P 500,USA
Teleflex Inc,TFX,UNITED STATES OF AMERICA,S&P 500,USA
Target Corp,TGT,UNITED STATES OF AMERICA,S&P 500,USA
Tiffany & Company,TIF,UNITED STATES OF AMERICA,S&P 500,USA
TJX Companies,TJX,UNITED STATES OF AMERICA,S&P 500,USA
Thermo Fisher Scientific Inc,TMO,UNITED STATES OF AMERICA,S&P 500,USA
T-Mobile US,TMUS,UNITED STATES OF AMERICA,S&P 500,USA
Tapestry Inc,TPR,UNITED STATES OF AMERICA,S&P 500,USA
T Rowe Price Group,TROW,UNITED STATES OF AMERICA,S&P 500,USA
The Travelers Companies Inc,TRV,UNITED STATES OF AMERICA,S&P 500,USA
Tractor Supply Company,TSCO,UNITED STATES OF AMERICA,S&P 500,USA
Tyson Foods,TSN,UNITED STATES OF AMERICA,S&P 500,USA
Take-Two Interacti,TTWO,UNITED STATES OF AMERICA,S&P 500,USA
Twitter Inc,TWTR,UNITED STATES OF AMERICA,S&P 500,USA
Texas Instruments,TXN,UNITED STATES OF AMERICA,S&P 500,USA
Textron Inc,TXT,UNITED STATES OF AMERICA,S&P 500,USA
Under Armour Inc Cl C,UA,UNITED STATES OF AMERICA,S&P 500,USA
Under Armour,UAA,UNITED STATES OF AMERICA,S&P 500,USA
United Continental Holdings,UAL,UNITED STATES OF AMERICA,S&P 500,USA
United Dominion Realty Trust,UDR,UNITED STATES OF AMERICA,S&P 500,USA
Universal Health Services,UHS,UNITED STATES OF AMERICA,S&P 500,USA
Ulta Beauty Inc,ULTA,UNITED STATES OF AMERICA,S&P 500,USA
Unitedhealth Group Inc,UNH,UNITED STATES OF AMERICA,S&P 500,USA
Unumprovident Corp,UNM,UNITED STATES OF AMERICA,S&P 500,USA
Union Pacific Corp,UNP,UNITED STATES OF AMERICA,S&P 500,USA
United Parcel Service,UPS,UNITED STATES OF AMERICA,S&P 500,USA
United Rentals,URI,UNITED STATES OF AMERICA,S&P 500,USA
U.S. Bancorp,USB,UNITED STATES OF AMERICA,S&P 500,USA
United Technologies Corp,UTX,UNITED STATES OF AMERICA,S&P 500,USA
Visa Inc,V,UNITED STATES OF AMERICA,S&P 500,USA
Varian Medical Systems,VAR,UNITED STATES OF AMERICA,S&P 500,USA
V.F. Corp,VFC,UNITED STATES OF AMERICA,S&P 500,USA
Viacomcbs Inc. Cl B,VIAC,UNITED STATES OF AMERICA,S&P 500,USA
Valero Energy Corp,VLO,UNITED STATES OF AMERICA,S&P 500,USA
Vulcan Materials Company,VMC,UNITED STATES OF AMERICA,S&P 500,USA
Vornado Realty Trust,VNO,UNITED STATES OF AMERICA,S&P 500,USA
Verisk Analytics Inc,VRSK,UNITED STATES OF AMERICA,S&P 500,USA
Verisign Inc,VRSN,UNITED STATES OF AMERICA,S&P 500,USA
Vertex Pharmaceutic,VRTX,UNITED STATES OF AMERICA,S&P 500,USA
Ventas Inc,VTR,UNITED STATES OF AMERICA,S&P 500,USA
Verizon Communications Inc,VZ,UNITED STATES OF AMERICA,S&P 500,USA
Wabtec Corp,WAB,UNITED STATES OF AMERICA,S&P 500,USA
Waters Corp,WAT,UNITED STATES OF AMERICA,S&P 500,USA
Walgreens Boots Alliance,WBA,UNITED STATES OF AMERICA,S&P 500,USA
Western Digital Cp,WDC,UNITED STATES OF AMERICA,S&P 500,USA
Wisconsin Energy Corp,WEC,UNITED STATES OF AMERICA,S&P 500,USA
Welltower Inc,WELL,UNITED STATES OF AMERICA,S&P 500,USA
Wells Fargo & Company,WFC,UNITED STATES OF AMERICA,S&P 500,USA
Whirlpool Corp,WHR,UNITED STATES OF AMERICA,S&P 500,USA
Willis Towers WT,WLTW,UNITED STATES OF AMERICA,S&P 500,USA
Waste Management,WM,UNITED STATES OF AMERICA,S&P 500,USA
Williams Companies,WMB,UNITED STATES OF AMERICA,S&P 500,USA
Wal-Mart Stores,WMT,UNITED STATES OF AMERICA,S&P 500,USA
W.R. Berkley Corp,WRB,UNITED STATES OF AMERICA,S&P 500,USA
Westrock Company,WRK,UNITED STATES OF AMERICA,S&P 500,USA
Western Union Company,WU,UNITED STATES OF AMERICA,S&P 500,USA
Weyerhaeuser Company,WY,UNITED STATES OF AMERICA,S&P 500,USA
Wynn Resorts Ltd,WYNN,UNITED STATES OF AMERICA,S&P 500,USA
Cimarex Energy Company,XEC,UNITED STATES OF AMERICA,S&P 500,USA
XCEL Energy Inc,XEL,UNITED STATES OF AMERICA,S&P 500,USA
Xilinx Inc,XLNX,UNITED STATES OF AMERICA,S&P 500,USA
Exxon Mobil Corp,XOM,UNITED STATES OF AMERICA,S&P 500,USA
Dentsply Sirona Inc,XRAY,UNITED STATES OF AMERICA,S&P 500,USA
Xerox Corp,XRX,UNITED STATES OF AMERICA,S&P 500,USA
Xylem Inc,XYL,UNITED STATES OF AMERICA,S&P 500,USA
Yum! Brands,YUM,UNITED STATES OF AMERICA,S&P 500,USA
Zimmer Biomet Holdings,ZBH,UNITED STATES OF AMERICA,S&P 500,USA
Zebra Technologies,ZBRA,UNITED STATES OF AMERICA,S&P 500,USA
Zions Bancorp,ZION,UNITED STATES OF AMERICA,S&P 500,USA
Zoetis Inc Cl A,ZTS,UNITED STATES OF AMERICA,S&P 500,USA
Covestro AG ,1COV.DB,GERMANY,DAX,DEU
adidas AG ,ADS.DB,GERMANY,DAX,DEU
Allianz SE ,ALV.DB,GERMANY,DAX,DEU
BASF SE ,BAS.DB,GERMANY,DAX,DEU
Bayer AG ,BAYN.DB,GERMANY,DAX,DEU
Beiersdorf AG ,BEI.DB,GERMANY,DAX,DEU
Bayerische Motoren Werke AG ,BMW.DB,GERMANY,DAX,DEU
Continental AG ,CON.DB,GERMANY,DAX,DEU
Daimler AG ,DAI.DB,GERMANY,DAX,DEU
Deutsche Boerse AG ,DB1.DB,GERMANY,DAX,DEU
Deutsche Bank AG ,DBK.DB,GERMANY,DAX,DEU
Deutsche Post AG ,DPW.DB,GERMANY,DAX,DEU
Deutsche Telekom AG ,DTE.DB,GERMANY,DAX,DEU
E.ON SE ,EOAN.DB,GERMANY,DAX,DEU
Fresenius Medical Care AG & CO KGaA ,FME.DB,GERMANY,DAX,DEU
Fresenius SE &Co KGaA ,FRE.DB,GERMANY,DAX,DEU
HeidelbergCement AG ,HEI.DB,GERMANY,DAX,DEU
Henkel AG & Co KGaA ,HEN3.DB,GERMANY,DAX,DEU
Infineon Technologies AG ,IFX.DB,GERMANY,DAX,DEU
Deutsche Lufthansa AG ,LHA.DB,GERMANY,DAX,DEU
Linde PLC ,LIN.DB,GERMANY,DAX,DEU
Merck KGaA ,MRK.DB,GERMANY,DAX,DEU
MTU Aero Engines AG ,MTX.DB,GERMANY,DAX,DEU
Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen ,MUV2.DB,GERMANY,DAX,DEU
RWE AG ,RWE.DB,GERMANY,DAX,DEU
SAP SE ,SAP.DB,GERMANY,DAX,DEU
Siemens AG ,SIE.DB,GERMANY,DAX,DEU
Vonovia SE ,VNA.DB,GERMANY,DAX,DEU
Volkswagen AG ,VOW3.DB,GERMANY,DAX,DEU
Wirecard AG ,WDI.DB,GERMANY,DAX,DEU
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.BO,INDIA,Nifty 50,IND
Asian Paints Ltd.,ASIANPAINT.BO,INDIA,Nifty 50,IND
Axis Bank Ltd.,AXISBANK.BO,INDIA,Nifty 50,IND
Bajaj Auto Ltd.,BAJAJ-AUTO.BO,INDIA,Nifty 50,IND
Bajaj Finance Ltd.,BAJFINANCE.BO,INDIA,Nifty 50,IND
Bajaj Finserv Ltd.,BAJAJFINSV.BO,INDIA,Nifty 50,IND
Bharat Petroleum Corporation Ltd.,BPCL.BO,INDIA,Nifty 50,IND
Bharti Airtel Ltd.,BHARTIARTL.BO,INDIA,Nifty 50,IND
Bharti Infratel Ltd.,INFRATEL.BO,INDIA,Nifty 50,IND
Britannia Industries Ltd.,BRITANNIA.BO,INDIA,Nifty 50,IND
Cipla Ltd.,CIPLA.BO,INDIA,Nifty 50,IND
Coal India Ltd.,COALINDIA.BO,INDIA,Nifty 50,IND
Dr. Reddy's Laboratories Ltd.,DRREDDY.BO,INDIA,Nifty 50,IND
Eicher Motors Ltd.,EICHERMOT.BO,INDIA,Nifty 50,IND
GAIL (India) Ltd.,GAIL.BO,INDIA,Nifty 50,IND
Grasim Industries Ltd.,GRASIM.BO,INDIA,Nifty 50,IND
HCL Technologies Ltd.,HCLTECH.BO,INDIA,Nifty 50,IND
HDFC Bank Ltd.,HDFCBANK.BO,INDIA,Nifty 50,IND
Hero MotoCorp Ltd.,HEROMOTOCO.BO,INDIA,Nifty 50,IND
Hindalco Industries Ltd.,HINDALCO.BO,INDIA,Nifty 50,IND
Hindustan Unilever Ltd.,HINDUNILVR.BO,INDIA,Nifty 50,IND
Housing Development Finance Corporation Ltd.,HDFC.BO,INDIA,Nifty 50,IND
ICICI Bank Ltd.,ICICIBANK.BO,INDIA,Nifty 50,IND
ITC Ltd.,ITC.BO,INDIA,Nifty 50,IND
Indian Oil Corporation Ltd.,IOC.BO,INDIA,Nifty 50,IND
IndusInd Bank Ltd.,INDUSINDBK.BO,INDIA,Nifty 50,IND
Infosys Ltd.,INFY.BO,INDIA,Nifty 50,IND
JSW Steel Ltd.,JSWSTEEL.BO,INDIA,Nifty 50,IND
Kotak Mahindra Bank Ltd.,KOTAKBANK.BO,INDIA,Nifty 50,IND
Larsen & Toubro Ltd.,LT.BO,INDIA,Nifty 50,IND
Mahindra & Mahindra Ltd.,M&M.BO,INDIA,Nifty 50,IND
Maruti Suzuki India Ltd.,MARUTI.BO,INDIA,Nifty 50,IND
NTPC Ltd.,NTPC.BO,INDIA,Nifty 50,IND
Nestle India Ltd.,NESTLEIND.BO,INDIA,Nifty 50,IND
Oil & Natural Gas Corporation Ltd.,ONGC.BO,INDIA,Nifty 50,IND
Power Grid Corporation of India Ltd.,POWERGRID.BO,INDIA,Nifty 50,IND
Reliance Industries Ltd.,RELIANCE.BO,INDIA,Nifty 50,IND
State Bank of India,SBIN.BO,INDIA,Nifty 50,IND
Sun Pharmaceutical Industries Ltd.,SUNPHARMA.BO,INDIA,Nifty 50,IND
Tata Consultancy Services Ltd.,TCS.BO,INDIA,Nifty 50,IND
Tata Motors Ltd.,TATAMOTORS.BO,INDIA,Nifty 50,IND
Tata Steel Ltd.,TATASTEEL.BO,INDIA,Nifty 50,IND
Tech Mahindra Ltd.,TECHM.BO,INDIA,Nifty 50,IND
Titan Company Ltd.,TITAN.BO,INDIA,Nifty 50,IND
UPL Ltd.,UPL.BO,INDIA,Nifty 50,IND
UltraTech Cement Ltd.,ULTRACEMCO.BO,INDIA,Nifty 50,IND
Vedanta Ltd.,VEDL.BO,INDIA,Nifty 50,IND
Wipro Ltd.,WIPRO.BO,INDIA,Nifty 50,IND
Yes Bank Ltd.,YESBANK.BO,INDIA,Nifty 50,IND
Zee Entertainment Enterprises Ltd.,ZEEL.BO,INDIA,Nifty 50,IND
Accor,AC.PA,FRANCE,CAC 40,FRA
Air Liquide,AI.PA,FRANCE,CAC 40,FRA
Airbus SE,AIR.PA,FRANCE,CAC 40,FRA
ArcelorMittal SA,MT.PA,FRANCE,CAC 40,FRA
Atos,ATO.PA,FRANCE,CAC 40,FRA
AXA,CS.PA,FRANCE,CAC 40,FRA
BNP Paribas,BNP.PA,FRANCE,CAC 40,FRA
Bouygues,EN.PA,FRANCE,CAC 40,FRA
Capgemini,CAP.PA,FRANCE,CAC 40,FRA
Carrefour,CA.PA,FRANCE,CAC 40,FRA
Credit Agricole,ACA.PA,FRANCE,CAC 40,FRA
Danone,BN.PA,FRANCE,CAC 40,FRA
Dassault Systemes,DSY.PA,FRANCE,CAC 40,FRA
ENGIE,ENGI.PA,FRANCE,CAC 40,FRA
Essilorluxottica,EL.PA,FRANCE,CAC 40,FRA
Hermes International,RMS.PA,FRANCE,CAC 40,FRA
Kering,KER.PA,FRANCE,CAC 40,FRA
L'Oreal,OR.PA,FRANCE,CAC 40,FRA
Legrand SA,LR.PA,FRANCE,CAC 40,FRA
LVMH,MC.PA,FRANCE,CAC 40,FRA
Michelin,ML.PA,FRANCE,CAC 40,FRA
Orange.,ORA.PA,FRANCE,CAC 40,FRA
Pernod Ricard,RI.PA,FRANCE,CAC 40,FRA
Peugeot,UG.PA,FRANCE,CAC 40,FRA
Publicis Groupe Sa,PUB.PA,FRANCE,CAC 40,FRA
Renault,RNO.PA,FRANCE,CAC 40,FRA
Safran,SAF.PA,FRANCE,CAC 40,FRA
Saint Gobain,SGO.PA,FRANCE,CAC 40,FRA
Sanofi,SAN.PA,FRANCE,CAC 40,FRA
Schneider Electric,SU.PA,FRANCE,CAC 40,FRA
Societe Generale S.A.,GLE.PA,FRANCE,CAC 40,FRA
Sodexo,SW.PA,FRANCE,CAC 40,FRA
ST Microelectronics,STM.PA,FRANCE,CAC 40,FRA
TECHNIPFMC,FTI.PA,FRANCE,CAC 40,FRA
Total,FP.PA,FRANCE,CAC 40,FRA
Unibail-Rodamco,UL.PA,FRANCE,CAC 40,FRA
Valeo,FR.PA,FRANCE,CAC 40,FRA
Veolia Environnement,VIE.PA,FRANCE,CAC 40,FRA
Vinci,DG.PA,FRANCE,CAC 40,FRA
Vivendi,VIV.PA,FRANCE,CAC 40,FRA
